# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
0 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0 0
29 2.85 18.671 12
30 2.95 0 12
31 3.05 0 12
32 3.15 0 12
33 3.25 0 12
34 3.35 0 12
35 3.45 0 12
36 3.55 0 12
37 3.65 0 12
38 3.75 0 12
39 3.85 0 12
40 3.95 4.86021 18
41 4.05 0 18
42 4.15 0 18
43 4.25 0 18
44 4.35 0 18
45 4.45 0 18
46 4.55 0 18
47 4.65 0 18
48 4.75 0 18
49 4.85 12.8954 42
50 4.95 0 42
51 5.05 0 42
52 5.15 0 42
53 5.25 0 42
54 5.35 0 42
55 5.45 0 42
56 5.55 0 42
57 5.65 4.7511 54
58 5.75 0 54
59 5.85 0 54
60 5.95 0 54
61 6.05 0 54
62 6.15 0 54
63 6.25 0 54
64 6.35 7.52273 78
65 6.45 0 78
66 6.55 0 78
67 6.65 0 78
68 6.75 0 78
69 6.85 0 78
70 6.95 2.09331 86
71 7.05 0 86
72 7.15 0 86
73 7.25 0 86
74 7.35 0 86
75 7.45 10.9306 134
76 7.55 0 134
77 7.65 0 134
78 7.75 0 134
79 7.85 0 134
80 7.95 1.19986 140
81 8.05 0 140
82 8.15 0 140
83 8.25 0 140
84 8.35 0 140
85 8.45 6.37243 176
86 8.55 0 176
87 8.65 0 176
88 8.75 0 176
89 8.85 0 176
90 8.95 3.78688 200
91 9.05 0 200
92 9.15 0 200
93 9.25 0 200
94 9.35 3.4698 224
95 9.45 0 224
96 9.55 0 224
97 9.65 0 224
98 9.75 3.19094 248
99 9.85 0 248
100 9.95 0 248
2000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 0.628415 0.376
29 2.85 18.0881 12
30 2.95 0 12
31 3.05 0 12
32 3.15 0 12
33 3.25 0 12
34 3.35 0 12
35 3.45 0 12
36 3.55 0 12
37 3.65 0 12
38 3.75 0 12
39 3.85 0 12
40 3.95 3.99556 16.932
41 4.05 0.823022 18
42 4.15 0 18
43 4.25 0 18
44 4.35 0 18
45 4.45 0 18
46 4.55 0 18
47 4.65 0 18
48 4.75 0 18
49 4.85 11.4825 39.368
50 4.95 1.35779 42
51 5.05 0 42
52 5.15 0 42
53 5.25 0 42
54 5.35 0 42
55 5.45 0 42
56 5.55 0.0065659 42.016
57 5.65 4.74532 54
58 5.75 0 54
59 5.85 0 54
60 5.95 0 54
61 6.05 0 54
62 6.15 0 54
63 6.25 2.75056 62.5
64 6.35 4.85901 78
65 6.45 0 78
66 6.55 0 78
67 6.65 0 78
68 6.75 0 78
69 6.85 0.671323 80.492
70 6.95 1.44142 86
71 7.05 0 86
72 7.15 0 86
73 7.25 0 86
74 7.35 0 86
75 7.45 10.92 133.948
76 7.55 0.0115312 134
77 7.65 0 134
78 7.75 0 134
79 7.85 0 134
80 7.95 1.14961 139.748
81 8.05 0.0491559 140
82 8.15 0 140
83 8.25 0 140
84 8.35 0 140
85 8.45 6.3661 175.96
86 8.55 0.00691664 176
87 8.65 0 176
88 8.75 0 176
89 8.85 0.424783 178.632
90 8.95 3.37198 200
91 9.05 0 200
92 9.15 0 200
93 9.25 0.000590942 200.004
94 9.35 3.46732 223.984
95 9.45 0.00226477 224
96 9.55 0 224
97 9.65 0 224
98 9.75 3.16685 247.816
99 9.85 0.0239725 248
100 9.95 0 248
4000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 1.83108 1.096
29 2.85 16.9613 12
30 2.95 0 12
31 3.05 0 12
32 3.15 0 12
33 3.25 0 12
34 3.35 0 12
35 3.45 0 12
36 3.55 0 12
37 3.65 0 12
38 3.75 0 12
39 3.85 0 12
40 3.95 3.58267 16.424
41 4.05 1.21404 18
42 4.15 0 18
43 4.25 0 18
44 4.35 0 18
45 4.45 0 18
46 4.55 0 18
47 4.65 0 18
48 4.75 0 18
49 4.85 10.5865 37.708
50 4.95 2.21332 42
51 5.05 0 42
52 5.15 0 42
53 5.25 0 42
54 5.35 0 42
55 5.45 0 42
56 5.55 0.0771203 42.188
57 5.65 4.67071 53.988
58 5.75 0.0045861 54
59 5.85 0 54
60 5.95 0 54
61 6.05 0 54
62 6.15 0 54
63 6.25 3.25674 64.068
64 6.35 4.36582 78
65 6.45 0 78
66 6.55 0 78
67 6.65 0 78
68 6.75 0 78
69 6.85 0.772323 80.868
70 6.95 1.34251 86
71 7.05 0 86
72 7.15 0 86
73 7.25 0 86
74 7.35 0.00561356 86.024
75 7.45 10.7201 133.112
76 7.55 0.196844 134
77 7.65 0 134
78 7.75 0 134
79 7.85 0 134
80 7.95 1.0748 139.376
81 8.05 0.121674 140
82 8.15 0 140
83 8.25 0 140
84 8.35 0.00797413 140.044
85 8.45 6.25257 175.376
86 8.55 0.107859 176
87 8.65 0 176
88 8.75 0 176
89 8.85 0.802137 180.972
90 8.95 3.00159 200
91 9.05 0 200
92 9.15 0 200
93 9.25 0.0153587 200.104
94 9.35 3.44116 223.912
95 9.45 0.0124516 224
96 9.55 0 224
97 9.65 0.000542763 224.004
98 9.75 3.06092 247.032
99 9.85 0.126069 248
100 9.95 0 248
6000 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0 0
12 1.15 0 0
13 1.25 0 0
14 1.35 0 0
15 1.45 0 0
16 1.55 0 0
17 1.65 0 0
18 1.75 0 0
19 1.85 0 0
20 1.95 0 0
21 2.05 0 0
22 2.15 0 0
23 2.25 0 0
24 2.35 0 0
25 2.45 0 0
26 2.55 0 0
27 2.65 0 0
28 2.75 2.41891 1.444
29 2.85 16.4638 12
30 2.95 0 12
31 3.05 0 12
32 3.15 0 12
33 3.25 0 12
34 3.35 0 12
35 3.45 0 12
36 3.55 0 12
37 3.65 0 12
38 3.75 0 12
39 3.85 0 12
40 3.95 3.14401 15.872
41 4.05 1.64363 18
42 4.15 0 18
43 4.25 0 18
44 4.35 0 18
45 4.45 0 18
46 4.55 0 18
47 4.65 0 18
48 4.75 0 18
49 4.85 9.22514 35.128
50 4.95 3.55323 42
51 5.05 0 42
52 5.15 0 42
53 5.25 0 42
54 5.35 0 42
55 5.45 0 42
56 5.55 0.120102 42.292
57 5.65 4.62125 53.936
58 5.75 0.0245244 54
