# Chunk-averaged data for fix chunk and group B
# Timestep Number-of-chunks Total-count
# Chunk OrigID Coord1 Ncount c_ke1 temp c_stress4[1] c_displace1[1] c_disp c_stress5[1]
100100 173 3444
  1 4 10.8061 12 0.0156323 120.937 -1.31989e+06 0.087297 12.0531 -1.31989e+06
  2 5 12.8061 24 0.00691742 53.5155 -1.15188e+06 0.0580321 13.108 -1.15188e+06
  3 6 14.8061 18.97 0.00370118 28.6336 -727634 0.0269596 13.4103 -727634
  4 7 16.8061 17.03 0.00584344 45.2068 -1.00342e+06 0.0322555 13.504 -1.00342e+06
  5 8 18.8061 24 0.00176511 13.6555 -406551 0.0100951 13.0987 -406551
  6 9 20.8061 12 0.000334713 2.58945 -157405 0.00556399 12.0322 -157405
  7 10 22.8061 24 8.67639e-05 0.671234 -53321 0.004479 13.0989 -53321
  8 11 24.8061 24 6.45885e-05 0.499679 -17917.8 0.004171 13.099 -17917.8
  9 12 26.8061 12 5.36545e-05 0.415089 -14831 0.00401088 14.1657 -14831
  10 13 28.8061 24 2.85079e-05 0.220547 -15010.5 0.00374064 13.0991 -15010.5
  11 14 30.8061 24 1.70008e-05 0.131524 -15631.4 0.00331056 13.0992 -15631.4
  12 15 32.8061 12 4.92678e-05 0.381153 -16064.4 0.00301454 12.0326 -16064.4
  13 16 34.8061 24 0.000110814 0.857295 -16393.5 0.0027911 13.0993 -16393.5
  14 17 36.8061 24 0.000165844 1.28303 -16645.6 0.002573 13.0995 -16645.6
  15 18 38.8061 12 0.000153697 1.18905 -16677.7 0.00243928 14.1662 -16677.7
  16 19 40.8061 24 9.25481e-05 0.715983 -16589.5 0.0023077 13.0996 -16589.5
  17 20 42.8061 24 1.64902e-05 0.127574 -16442.8 0.00211622 13.0998 -16442.8
  18 21 44.8061 12 1.39685e-05 0.108065 -16409 0.00194103 12.0332 -16409
  19 22 46.8061 24 7.57408e-05 0.585956 -16482.4 0.00172228 13.1 -16482.4
  20 23 48.8061 24 0.000170019 1.31532 -16617.4 0.00141078 13.1001 -16617.4
  21 24 50.8061 12 0.000194487 1.50461 -16641 0.00122743 14.1669 -16641
  22 25 52.8061 24 0.000155704 1.20458 -16516 0.00116968 13.1004 -16516
  23 26 54.8061 24 6.85088e-05 0.530007 -16225.6 0.00127083 13.1005 -16225.6
  24 27 56.8061 12 1.76167e-05 0.136289 -15994.9 0.00142044 12.034 -15994.9
  25 28 58.8061 24 4.87254e-06 0.0376956 -15776.8 0.00152635 13.1008 -15776.8
  26 29 60.8061 24 1.58965e-05 0.12298 -15407.2 0.00150316 13.101 -15407.2
  27 30 62.8061 12 2.04623e-05 0.158303 -14970.7 0.00138223 14.1678 -14970.7
  28 31 64.8061 24 1.29724e-05 0.100359 -14332.5 0.00124978 13.1014 -14332.5
  29 32 66.8061 24 3.18465e-06 0.0246375 -13253.6 0.00114672 13.1016 -13253.6
  30 33 68.8061 12 5.7036e-06 0.0441249 -12342 0.00112304 12.0351 -12342
  31 34 70.8061 24 1.4838e-05 0.114792 -11388.9 0.00109304 13.102 -11388.9
  32 35 72.8061 24 1.82561e-05 0.141235 -10042.7 0.00095997 13.1022 -10042.7
  33 36 74.8061 12 9.81214e-06 0.07591 -9004.96 0.000763555 14.1691 -9004.96
  34 37 76.8061 24 2.3193e-06 0.0179429 -7984.26 0.00047951 13.1026 -7984.26
  35 38 78.8061 24 2.03512e-05 0.157444 -6672.83 5.89691e-05 13.1029 -6672.83
  36 39 80.8061 12 5.86661e-05 0.453861 -5796.41 -0.000233352 12.0364 -5796.41
  37 40 82.8061 24 0.000105878 0.819106 -5089.31 -0.000469914 13.1033 -5089.31
  38 41 84.8061 24 0.000149592 1.1573 -4300.14 -0.00069104 13.1035 -4300.14
  39 42 86.8061 12 0.000152087 1.1766 -3813.12 -0.000781439 14.1703 -3813.12
  40 43 88.8061 24 0.000120961 0.935795 -3427.46 -0.000819869 13.1038 -3427.46
  41 44 90.8061 24 5.82011e-05 0.450263 -2987.8 -0.000866589 13.1041 -2987.8
  42 45 92.8061 12 1.54864e-05 0.119808 -2701.62 -0.000948617 12.0376 -2701.62
  43 46 94.8061 24 5.42016e-06 0.0419321 -2398.9 -0.00113995 13.1044 -2398.9
  44 47 96.8061 24 5.3572e-05 0.414451 -1879.38 -0.00156118 13.1047 -1879.38
  45 48 98.8061 12 0.000126025 0.974969 -1399.72 -0.00195697 14.1716 -1399.72
  46 49 100.806 24 0.000204969 1.58571 -859.494 -0.0023365 13.1051 -859.494
  47 50 102.806 24 0.00026236 2.02971 -124.827 -0.00262237 13.1055 -124.827
  48 51 104.806 12 0.00024728 1.91304 330.158 -0.00258193 12.0391 330.158
  49 52 106.806 24 0.000185686 1.43653 605.63 -0.00231716 13.106 605.63
  50 53 108.806 24 8.31535e-05 0.643303 877.819 -0.00183227 13.1064 877.819
  51 54 110.806 12 2.1412e-05 0.16565 1191.64 -0.0014996 14.1733 1191.64
  52 55 112.806 24 5.9937e-06 0.0463693 1836.41 -0.00134624 13.1069 1836.41
  53 56 114.806 24 6.24231e-05 0.482926 3219.36 -0.0014637 13.1073 3219.36
  54 57 116.806 12 0.000150399 1.16354 4524.73 -0.0017487 12.0409 4524.73
  55 58 118.806 24 0.000246043 1.90347 5878.39 -0.00207437 13.1078 5878.39
  56 59 120.806 24 0.000326771 2.52801 7571.71 -0.00231828 13.1082 7571.71
  57 60 122.806 12 0.000326114 2.52293 8715.73 -0.00225027 14.1751 8715.73
  58 61 124.806 24 0.000256609 1.98521 9804.61 -0.00189911 13.1087 9804.61
  59 62 126.806 24 0.000114195 0.883454 11363.2 -0.00117687 13.1091 11363.2
  60 63 128.806 12 2.35797e-05 0.182421 12675.2 -0.000602172 12.0427 12675.2
  61 64 130.806 24 8.83138e-06 0.0683226 14087.8 -0.000164885 13.1097 14087.8
  62 65 132.806 24 0.000120313 0.930781 15940.8 0.000150272 13.1101 15940.8
  63 66 134.806 12 0.000279961 2.16587 17241.3 0.000216583 14.1771 17241.3
  64 67 136.806 24 0.000438054 3.38894 18465 0.000226844 13.1107 18465
  65 68 138.806 24 0.000521966 4.0381 20054.6 0.000354963 13.1111 20054.6
  66 69 140.806 12 0.000452426 3.50012 21248.2 0.000615866 12.0447 21248.2
  67 70 142.806 24 0.00028384 2.19588 22452.6 0.00106008 13.1117 22452.6
  68 71 144.806 24 6.61018e-05 0.511386 23964.7 0.00184231 13.1121 23964.7
  69 72 146.806 12 7.51842e-06 0.0581651 24960.9 0.00250193 14.1791 24960.9
  70 73 148.806 24 0.000109708 0.848736 25766.2 0.00314163 13.1127 25766.2
  71 74 150.806 24 0.000390469 3.0208 26645.8 0.0038588 13.1131 26645.8
  72 75 152.806 12 0.00060087 4.64854 27257.6 0.00425577 12.0467 27257.6
  73 76 154.806 24 0.000675361 5.22482 27958.3 0.00450383 13.1137 27958.3
  74 77 156.806 24 0.000528176 4.08615 29111.1 0.00471798 13.1141 29111.1
  75 78 158.806 12 0.000297996 2.3054 30083.8 0.00487896 14.1811 30083.8
  76 79 160.806 24 0.000103714 0.802367 31053.4 0.00512442 13.1148 31053.4
  77 80 162.806 24 5.6262e-05 0.435261 32188.2 0.00559702 13.1152 32188.2
  78 81 164.806 12 0.000196022 1.51649 32853.1 0.00602868 12.0489 32853.1
  79 82 166.806 24 0.000416458 3.22186 33341.7 0.00644964 13.1159 33341.7
  80 83 168.806 24 0.000617152 4.77449 33893.8 0.00686957 13.1164 33893.8
  81 84 170.806 12 0.000616518 4.76959 34335.2 0.00702869 14.1834 34335.2
  82 85 172.806 24 0.000478309 3.70036 34825.6 0.00701877 13.1171 34825.6
  83 86 174.806 24 0.000229803 1.77783 35542.1 0.00682575 13.1175 35542.1
  84 87 176.806 12 8.3132e-05 0.643137 36066.6 0.0066056 12.0512 36066.6
  85 88 178.806 24 4.75247e-05 0.367667 36502.6 0.00640164 13.1183 36502.6
  86 89 180.806 24 0.000135867 1.05111 36955.1 0.00626017 13.1187 36955.1
  87 90 182.806 12 0.000246713 1.90866 37238.1 0.00627068 14.1858 37238.1
  88 91 184.806 24 0.000332672 2.57367 37494.6 0.00635377 13.1195 37494.6
  89 92 186.806 24 0.000354439 2.74206 37905.6 0.00644544 13.12 37905.6
  90 93 188.806 12 0.000295226 2.28397 38324 0.00641728 12.0537 38324
  91 94 190.806 24 0.000196094 1.51705 38816.4 0.00623132 13.1207 38816.4
  92 95 192.806 24 7.80177e-05 0.603571 39541 0.00579542 13.1212 39541
  93 96 194.806 12 3.08489e-05 0.238658 40105.2 0.00538161 14.1882 40105.2
  94 97 196.806 24 3.88969e-05 0.30092 40620.8 0.0049767 13.1219 40620.8
  95 98 198.806 23.15 9.77918e-05 0.75655 41296 0.0044165 13.0592 41296
  96 99 200.806 12.85 0.000143437 1.10968 41297.8 0.004669 12.2402 41297.8
  97 100 202.806 24 0.000158923 1.22948 41806.4 0.00429482 13.123 41806.4
  98 101 204.806 12 0.000132533 1.02532 42048.7 0.0042194 14.19 42048.7
  99 102 206.806 24 7.32375e-05 0.56659 42222.1 0.0040773 13.1237 42222.1
  100 103 208.806 24 1.77181e-05 0.137074 42282.5 0.00370619 13.1241 42282.5
  101 104 210.806 12 3.15603e-05 0.244161 42174.9 0.00329723 12.0578 42174.9
  102 105 212.806 24 9.99284e-05 0.77308 41887.5 0.00284465 13.1248 41887.5
  103 106 214.806 24 0.000194251 1.50279 41263.3 0.00234102 13.1252 41263.3
  104 107 216.806 12 0.000211983 1.63998 40660 0.00212143 14.1922 40660
  105 108 218.806 24 0.000150416 1.16367 39918.5 0.00209189 13.1259 39918.5
  106 109 220.806 24 3.6436e-05 0.281881 38634 0.00220942 13.1263 38634
  107 110 222.806 12 7.67943e-06 0.0594107 37362.5 0.00231378 12.0599 37362.5
  108 111 224.806 24 8.3901e-05 0.649086 35739.6 0.00234365 13.1269 35739.6
